food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,servings_unit,unit_serving_energy_kcal
OSR058,Pickled cabbage ,open_source_recipes,57.580196380615234,13.693668365478516,2.5610013008117676,0.3908402919769287,0.1364942342042923,2.0804150104522705,0.6094923615455627,jar,35.5059700012207
OSR059,Coconut pickle (Nariyal ka aachar),open_source_recipes,2138.838134765625,517.2561645507812,11.533623695373535,3.022852897644043,51.71007537841797,8.979310989379883,6.3491902351379395,jar,144.86276245117188
OSR060,Potato pickle (Aloo ka achaar),open_source_recipes,1522.11328125,369.1396789550781,7.865382671356201,2.073549270629883,36.45631790161133,0.8196935653686523,2.2119264602661133,bowl,173.1726531982422
OSR061,Mango murabba candy,open_source_recipes,1249.5316162109375,293.3459777832031,77.317138671875,0.2681578993797302,0.05298245698213577,74.73062896728516,0.9523683786392212,candy,222.94293212890625
OSR062,Afghani chicken,open_source_recipes,633.3399047851562,151.51295471191406,1.9462581872940063,15.663017272949219,9.069842338562012,0.8278524279594421,0.3076152801513672,plate,287.4958190917969
OSR063,Fish orly,open_source_recipes,2321.86279296875,563.699951171875,4.266434192657471,5.872488498687744,58.18387222290039,0.23744331300258636,0.32677438855171204,fillet,1657.27783203125
OSR064,Hariyali Fish Tikka,open_source_recipes,625.1104125976562,150.23699951171875,2.205204486846924,14.00955867767334,9.405717849731445,0.8348767757415771,0.9890422821044922,kebab,268.2481689453125
OSR065,Chicken manchurian,open_source_recipes,592.2630615234375,142.33798217773438,6.062744617462158,9.533809661865234,11.958362579345703,0.8952563405036926,0.4115220010280609,plate,632.9912719726562
OSR066,Handi chicken,open_source_recipes,694.8668212890625,166.0196533203125,1.494889497756958,12.322555541992188,12.46326732635498,0.7543935179710388,0.6710296273231506,plate,384.9580993652344
OSR067,Lemon chicken,open_source_recipes,709.573486328125,169.78912353515625,0.5507365465164185,20.198272705078125,9.655328750610352,0.16213208436965942,0.15967752039432526,plate,486.57318115234375
OSR068,Lemon butter fish,open_source_recipes,666.7168579101562,160.2456817626953,0.753724992275238,16.383150100708008,10.258563041687012,0.22830000519752502,0.3618749976158142,piece,320.4913635253906
OSR069,Baked eggs in tomato sauce,open_source_recipes,335.8999938964844,80.04957580566406,3.7764370441436768,4.919628143310547,5.224381923675537,2.0262110233306885,0.008331658318638802,plate,398.2466125488281
OSR070,Egg in a pepper,open_source_recipes,538.8316040039062,128.78076171875,0.17254295945167542,12.642990112304688,8.67584228515625,0.04848797619342804,0.1698625385761261,egg,749.5039672851562
OSR071,Spinach mushroom scrambled egg (Palak mushroom bhurji),open_source_recipes,663.8750610351562,158.8451690673828,0.5877930521965027,13.27927017211914,11.5103178024292,0.1048518642783165,0.39452123641967773,plate,184.97520446777344
OSR072,Corn omelette/omlet,open_source_recipes,695.2380981445312,166.92759704589844,1.5704118013381958,11.371248245239258,12.89288330078125,0.4089575409889221,0.021338481456041336,omelette,324.2568664550781
OSR073,Cajun chicken,open_source_recipes,768.1067504882812,184.9423065185547,1.9431791305541992,12.691536903381348,13.98684310913086,1.0968283414840698,0.887738823890686,chicken breast,309.7783508300781
